,Наименование работ,Дни мес.,01.11.2015,02.11.2015,03.11.2015,04.11.2015,05.11.2015,06.11.2015,07.11.2015,08.11.2015,09.11.2015,10.11.2015,11.11.2015,12.11.2015,13.11.2015,14.11.2015,15.11.2015,16.11.2015,17.11.2015,18.11.2015,19.11.2015,20.11.2015,21.11.2015,22.11.2015,23.11.2015,24.11.2015,25.11.2015,26.11.2015,27.11.2015,28.11.2015,29.11.2015,30.11.2015
,                Засыпка траншей и котлованов с перемещением грунта_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,
4.6.2.10,                Антикоррозионная изоляция надземных трубопроводов_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,
,                Антикоррозионная изоляция надземных трубопроводов_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
4.6.2.11,                Антикоррозионная изоляция надземного трубопровода для продувочной свечи Д 114мм_act,план,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,                Антикоррозионная изоляция надземного трубопровода для продувочной свечи Д 114мм_act,факт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.6.3,"             Строительные работы УЗ№6 ПК321+35,00 _act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.6.3.1,                Изготовление ограждения узла запорной арматуры_act,план,,,,,,,,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,
,                Изготовление ограждения узла запорной арматуры_act,факт,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
4.6.3.2,"                Погружение в грунт сваи из трубы Д 108х6 мм методом вдавливания на глубину 1,4 м_act",план,,,,,,,,,,,0.25,0.24,,,,,,,,,,,,,,,,,,
,"                Погружение в грунт сваи из трубы Д 108х6 мм методом вдавливания на глубину 1,4 м_act",факт,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
4.6.3.3,                Монтаж ограждения узла запорной арматуры_act,план,,,,,,,,,,,,,0.21,0.21,,,,,,,,,,,,,,,,
,                Монтаж ограждения узла запорной арматуры_act,факт,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
4.6.3.4,                Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-017_act,план,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,
,                Огрунтовка металлических поверхностей за один раз грунтовкой ГФ-017_act,факт,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
4.6.3.5,                Окраска металлических огрунтованных поверхностей эмалью ПФ-115_act,план,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,
,                Окраска металлических огрунтованных поверхностей эмалью ПФ-115_act,факт,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
